Species,Concentration,Method,Output
F192,A,Script,3407842
F192,A,Script,4079280
F192,A,Script,5046387
F192,B,Script,2115619
F192,B,Script,2122687
F192,B,Script,2005479
F192,C,Script,1060165
F192,C,Script,1041612
F192,C,Script,1146745
F192,D,Script,488854
F192,D,Script,521542
F192,D,Script,492093
F192,E,Script,230291
F192,E,Script,198192
F192,E,Script,184056
F210,A,Script,2357451
F210,A,Script,2189383
F210,A,Script,2235570
F210,B,Script,1018676
F210,B,Script,1456809
F210,B,Script,1173915
F210,C,Script,620314
F210,C,Script,558091
F210,C,Script,433001
F210,D,Script,349608
F210,D,Script,226444
F210,D,Script,475981
F210,E,Script,121668
F210,E,Script,123806
F210,E,Script,61582
F192,A,Microscope,2755208
F192,A,Microscope,2824219
F192,A,Microscope,2457031
F192,B,Microscope,1492188
F192,B,Microscope,1315886
F192,B,Microscope,1140625
F192,C,Microscope,527343
F192,C,Microscope,656250
F192,C,Microscope,675781
F192,D,Microscope,347656
F192,D,Microscope,273438
F192,D,Microscope,468750
F192,E,Microscope,117188
F192,E,Microscope,85938
F192,E,Microscope,23437
F210,A,Microscope,3535000
F210,A,Microscope,3630000
F210,A,Microscope,3760000
F210,B,Microscope,1510000
F210,B,Microscope,1705000
F210,B,Microscope,1790000
F210,C,Microscope,770000
F210,C,Microscope,865000
F210,C,Microscope,795000
F210,D,Microscope,455000
F210,D,Microscope,540000
F210,D,Microscope,390000
F210,E,Microscope,140000
F210,E,Microscope,205000
F210,E,Microscope,185000
F192,A,Visual,3184030
F192,A,Visual,3722358
F192,A,Visual,4756608
F192,B,Visual,1980742
F192,B,Visual,1993111
F192,B,Visual,1892395
F192,C,Visual,975941
F192,C,Visual,968579
F192,C,Visual,1080780
F192,D,Visual,451748
F192,D,Visual,486498
F192,D,Visual,468240
F192,E,Visual,216156
F192,E,Visual,189063
F192,E,Visual,170804
F210,A,Visual,2503068
F210,A,Visual,2096368
F210,A,Visual,2269568
F210,B,Visual,1084107
F210,B,Visual,1395868
F210,B,Visual,1268854
F210,C,Visual,633144
F210,C,Visual,558732
F210,C,Visual,451604
F210,D,Visual,368853
F210,D,Visual,222595
F210,D,Visual,511262
F210,E,Visual,124875
F210,E,Visual,126372
F210,E,Visual,58375
Anabena,High,Script,3508114
Anabena,High,Script,3860005
Anabena,High,Script,4062189
Anabena,Medium,Script,2497197
Anabena,Medium,Script,2609864
Anabena,Medium,Script,2626841
Anabena,Low,Script,1571166
Anabena,Low,Script,1737851
Anabena,Low,Script,1392133
Anabena,High,Microscope,1385956
Anabena,High,Microscope,1468189
Anabena,High,Microscope,1220565
Anabena,Medium,Microscope,1056098
Anabena,Medium,Microscope,1026531
Anabena,Medium,Microscope,833421
Anabena,Low,Microscope,
Anabena,Low,Microscope,
Anabena,Low,Microscope,
Anabena,High,Visual,3288952.96
Anabena,High,Visual,3580652.683
Anabena,High,Visual,3687146.232
Anabena,Medium,Visual,2097459.912
Anabena,Medium,Visual,2569735.654
Anabena,Medium,Visual,2390703.02
Anabena,Low,Visual,1393676.454
Anabena,Low,Visual,1679202.637
Anabena,Low,Visual,1381329.375
Shewanella,A,Script,39761709524
Shewanella,A,Script,27697280952
Shewanella,A,Script,32309252381
Shewanella,B,Script,20356814286
Shewanella,B,Script,17068366667
Shewanella,B,Script,12156057143
Shewanella,C,Script,11115054762
Shewanella,C,Script,10242038095
Shewanella,C,Script,7131757143
Shewanella,D,Script,4935216667
Shewanella,D,Script,3074647619
Shewanella,D,Script,2368344048
Shewanella,E,Script,3714011429
Shewanella,E,Script,2367071429
Shewanella,E,Script,2428157143
Shewanella,A,Visual,39485805714
Shewanella,A,Visual,33719314286
Shewanella,A,Visual,33939222857
Shewanella,B,Visual,20304891429
Shewanella,B,Visual,18105805714
Shewanella,B,Visual,16566445714
Shewanella,C,Visual,11337508571
Shewanella,C,Visual,9285028571
Shewanella,C,Visual,7928925714
Shewanella,D,Visual,4666948571
Shewanella,D,Visual,3188674286
Shewanella,D,Visual,2541165714
Shewanella,E,Visual,3870390857
Shewanella,E,Visual,2575373714
Shewanella,E,Visual,2717092571
