Species,Concentration,Script,Visual
Anabena,High,325,308
Anabena,High,274,247
Anabena,High,272,251
Anabena,High,252,234
Anabena,High,289,251
Anabena,High,362,329
Anabena,High,270,283
Anabena,High,229,228
Anabena,High,278,254
Anabena,High,298,290
Anabena,High,297,253
Anabena,High,235,227
Anabena,High,291,275
Anabena,High,209,197
Anabena,High,225,227
Anabena,High,294,263
Anabena,High,196,175
Anabena,High,178,159
Anabena,High,227,223
Anabena,High,235,206
Anabena,High,248,248
Anabena,High,233,210
Anabena,High,271,246
Anabena,High,261,234
Anabena,High,208,189
Anabena,High,297,284
Anabena,High,356,278
Anabena,High,296,271
Anabena,Medium,169,161
Anabena,Medium,106,91
Anabena,Medium,149,145
Anabena,Medium,152,138
Anabena,Medium,138,125
Anabena,Medium,275,120
Anabena,Medium,146,199
Anabena,Medium,204,149
Anabena,Medium,159,112
Anabena,Medium,120,119
Anabena,Medium,123,172
Anabena,Medium,190,197
Anabena,Medium,200,190
Anabena,Medium,197,120
Anabena,Medium,130,95
Anabena,Medium,101,176
Anabena,Medium,194,207
Anabena,Medium,205,172
Anabena,Medium,174,150
Anabena,Medium,177,186
Anabena,Medium,222,212
Anabena,Medium,224,105
Anabena,Medium,108,174
Anabena,Medium,184,153
Anabena,Medium,167,172
Anabena,Medium,187,195
Anabena,Medium,199,128
Anabena,Medium,128,136
Anabena,Medium,136,138
Anabena,Medium,147,136
Anabena,Low,144,118
Anabena,Low,127,62
Anabena,Low,72,82
Anabena,Low,86,67
Anabena,Low,71,80
Anabena,Low,92,100
Anabena,Low,104,112
Anabena,Low,122,105
Anabena,Low,120,69
Anabena,Low,80,108
Anabena,Low,119,108
Anabena,Low,131,117
Anabena,Low,76,75
Anabena,Low,130,127
Anabena,Low,68,90
Anabena,Low,145,122
Anabena,Low,120,127
Anabena,Low,129,128
Anabena,Low,69,66
Anabena,Low,139,128
Anabena,Low,77,71
Anabena,Low,80,63
Anabena,Low,140,148
Anabena,Low,110,103
Anabena,Low,92,88
Anabena,Low,54,52
Anabena,Low,101,101
Anabena,Low,80,106
Anabena,Low,84,80
Anabena,Low,84,83
F192,A,257,237
F192,A,239,226
F192,A,269,244
F192,A,276,256
F192,A,327,301
F192,A,328,303
F192,A,316,294
F192,A,284,251
F192,A,324,326
F192,A,273,265
F192,A,403,376
F192,A,329,299
F192,A,342,314
F192,A,328,295
F192,A,292,263
F192,A,296,270
F192,A,344,310
F192,A,387,351
F192,A,369,341
F192,A,373,341
F192,A,408,384
F192,A,389,371
F192,A,410,384
F192,A,413,375
F192,A,453,428
F192,A,425,417
F192,A,471,440
F192,A,423,407
F192,A,436,413
F192,A,456,419
F192,B,385,352
F192,B,288,333
F192,B,366,340
F192,B,418,389
F192,B,394,357
F192,B,391,360
F192,B,324,302
F192,B,377,344
F192,B,303,277
F192,B,346,309
F192,B,375,358
F192,B,348,323
F192,B,378,358
F192,B,342,329
F192,B,325,298
F192,B,382,362
F192,B,390,366
F192,B,411,384
F192,B,332,307
F192,B,321,299
F192,B,352,342
F192,B,352,339
F192,B,397,380
F192,B,317,300
F192,B,301,278
F192,B,300,273
F192,B,294,272
F192,B,361,339
F192,B,277,254
F192,B,454,436
F192,C,357,324
F192,C,335,305
F192,C,406,383
F192,C,368,339
F192,C,298,284
F192,C,357,332
F192,C,360,332
F192,C,324,297
F192,C,372,341
F192,C,423,377
F192,C,379,344
F192,C,364,339
F192,C,348,325
F192,C,346,313
F192,C,341,327
F192,C,350,322
F192,C,363,340
F192,C,359,330
F192,C,340,326
F192,C,347,323
F192,C,392,377
F192,C,408,382
F192,C,393,369
F192,C,320,300
F192,C,396,367
F192,C,413,390
F192,C,371,347
F192,C,366,343
F192,C,418,393
F192,C,417,402
F192,D,152,146
F192,D,139,136
F192,D,207,180
F192,D,198,177
F192,D,157,146
F192,D,155,145
F192,D,158,151
F192,D,209,192
F192,D,158,146
F192,D,127,115
F192,D,204,185
F192,D,209,184
F192,D,153,151
F192,D,170,159
F192,D,183,176
F192,D,167,161
F192,D,175,167
F192,D,185,176
F192,D,143,128
F192,D,182,165
F192,D,193,181
F192,D,155,147
F192,D,157,144
F192,D,183,175
F192,D,148,140
F192,D,183,177
F192,D,175,176
F192,D,118,112
F192,D,207,196
F192,D,152,142
F192,E,64,59
F192,E,75,74
F192,E,70,68
F192,E,70,65
F192,E,88,76
F192,E,95,90
F192,E,77,70
F192,E,68,64
F192,E,89,87
F192,E,86,81
F192,E,65,63
F192,E,63,59
F192,E,74,71
F192,E,54,54
F192,E,74,71
F192,E,63,60
F192,E,51,52
F192,E,68,63
F192,E,87,83
F192,E,74,66
F192,E,44,41
F192,E,70,68
F192,E,62,59
F192,E,58,54
F192,E,51,46
F192,E,69,67
F192,E,65,57
F192,E,61,53
F192,E,58,57
F192,E,87,78
F210,A,370,393
F210,A,392,398
F210,A,328,355
F210,A,355,372
F210,A,387,404
F210,A,374,399
F210,A,293,360
F210,A,431,451
F210,A,347,367
F210,A,398,403
F210,A,326,331
F210,A,388,411
F210,A,343,343
F210,A,329,340
F210,A,392,407
F210,A,363,380
F210,A,358,368
F210,A,363,367
F210,A,327,321
F210,A,343,353
F210,A,396,409
F210,A,301,311
F210,A,357,363
F210,A,347,356
F210,A,361,368
F210,A,333,336
F210,A,328,323
F210,A,320,317
F210,A,399,402
F210,B,159,161
F210,B,135,169
F210,B,150,157
F210,B,185,197
F210,B,130,135
F210,B,160,172
F210,B,162,172
F210,B,164,161
F210,B,156,171
F210,B,187,195
F210,B,253,243
F210,B,232,219
F210,B,249,233
F210,B,190,183
F210,B,200,209
F210,B,214,204
F210,B,253,242
F210,B,251,244
F210,B,209,193
F210,B,220,206
F210,B,187,202
F210,B,187,196
F210,B,183,198
F210,B,208,219
F210,B,211,231
F210,B,215,248
F210,B,224,241
F210,B,205,217
F210,B,206,226
F210,C,102,106
F210,C,103,109
F210,C,115,117
F210,C,86,87
F210,C,85,83
F210,C,74,74
F210,C,103,104
F210,C,109,113
F210,C,100,101
F210,C,90,93
F210,C,90,94
F210,C,111,112
F210,C,89,91
F210,C,75,75
F210,C,122,123
F210,C,84,84
F210,C,76,75
F210,C,68,66
F210,C,85,82
F210,C,70,69
F210,C,74,76
F210,C,58,69
F210,C,78,73
F210,C,65,68
F210,C,44,41
F210,C,71,71
F210,C,75,86
F210,C,87,94
F210,C,55,58
F210,C,68,68
F210,D,54,58
F210,D,50,54
F210,D,54,59
F210,D,44,47
F210,D,46,46
F210,D,54,55
F210,D,59,65
F210,D,57,57
F210,D,68,71
F210,D,59,63
F210,D,36,36
F210,D,37,37
F210,D,43,39
F210,D,31,31
F210,D,37,36
F210,D,41,40
F210,D,30,31
F210,D,28,28
F210,D,36,36
F210,D,34,33
F210,D,78,85
F210,D,76,86
F210,D,73,83
F210,D,95,95
F210,D,56,57
F210,D,66,75
F210,D,76,75
F210,D,78,78
F210,D,77,90
F210,D,67,73
F210,E,44,37
F210,E,61,64
F210,E,38,42
F210,E,40,49
F210,E,52,56
F210,E,42,41
F210,E,74,75
F210,E,75,79
F210,E,75,73
F210,E,68,68
F210,E,88,87
F210,E,54,54
F210,E,44,49
F210,E,63,63
F210,E,66,67
F210,E,74,75
F210,E,66,69
F210,E,44,46
F210,E,43,44
F210,E,37,37
F210,E,28,25
F210,E,33,31
F210,E,38,33
F210,E,35,33
F210,E,21,21
F210,E,21,19
F210,E,31,29
F210,E,33,32
F210,E,19,20
F210,E,29,30
Shewanella,A,830,758
Shewanella,A,853,797
Shewanella,A,687,739
Shewanella,A,832,864
Shewanella,A,658,686
Shewanella,A,726,682
Shewanella,A,690,778
Shewanella,A,1011,869
Shewanella,A,785,782
Shewanella,A,739,802
Shewanella,A,770,811
Shewanella,A,591,768
Shewanella,A,505,754
Shewanella,A,504,629
Shewanella,A,357,605
Shewanella,A,560,739
Shewanella,A,548,638
Shewanella,A,532,499
Shewanella,A,560,605
Shewanella,A,514,576
Shewanella,A,597,427
Shewanella,A,736,744
Shewanella,A,688,629
Shewanella,A,840,802
Shewanella,A,782,586
Shewanella,A,701,696
Shewanella,A,600,662
Shewanella,A,323,730
Shewanella,A,672,662
Shewanella,A,408,730
Shewanella,B,456,470
Shewanella,B,354,413
Shewanella,B,325,360
Shewanella,B,462,394
Shewanella,B,489,499
Shewanella,B,478,394
Shewanella,B,406,413
Shewanella,B,441,466
Shewanella,B,305,283
Shewanella,B,283,298
Shewanella,B,153,350
Shewanella,B,376,317
Shewanella,B,346,288
Shewanella,B,446,466
Shewanella,B,194,341
Shewanella,B,355,322
Shewanella,B,369,490
Shewanella,B,328,302
Shewanella,B,370,360
Shewanella,B,416,322
Shewanella,B,296,317
Shewanella,B,300,384
Shewanella,B,232,370
Shewanella,B,266,360
Shewanella,B,223,331
Shewanella,B,274,283
Shewanella,B,185,322
Shewanella,B,230,312
Shewanella,B,139,264
Shewanella,B,243,312
Shewanella,C,396,432
Shewanella,C,435,470
Shewanella,C,353,427
Shewanella,C,399,365
Shewanella,C,446,571
Shewanella,C,535,446
Shewanella,C,555,461
Shewanella,C,463,528
Shewanella,C,369,374
Shewanella,C,416,379
Shewanella,C,369,394
Shewanella,C,496,326
Shewanella,C,397,350
Shewanella,C,449,413
Shewanella,C,418,350
Shewanella,C,377,355
